date,lat,lon,sic_t,sic_t1,sic_t2,sic_t7,wind_speed,wind_dir,temp,current_u,current_v,sst,lat_factor,seasonal,target_24h,target_48h,target_72h
2026-08-06,-80.0,-180.0,0.8603,0.8184,0.8592,0.8863,12.98,234.8,-23.3,0.3576,-0.2778,-1.4,1.0,0.9953,0.8423,0.913,0.8156
2026-08-06,-80.0,-158.82,0.7891,0.7976,0.7679,0.8612,7.08,124.8,-25.0,0.0923,0.0943,-2.4,1.0,0.9953,0.7738,0.8859,0.8192
2026-08-06,-80.0,-137.65,0.7476,0.8508,0.8406,0.8087,16.12,273.0,-28.4,0.1374,-0.0408,-1.0,1.0,0.9953,0.7917,0.7769,0.7697
2026-08-06,-80.0,-116.47,0.9058,0.744,0.7207,0.8203,10.09,113.9,-22.9,0.1309,0.0851,-4.1,1.0,0.9953,0.772,0.802,0.7835
2026-08-06,-80.0,-95.29,0.7942,0.7806,0.7967,0.8209,13.7,198.4,-27.5,0.3952,-0.0321,-0.8,1.0,0.9953,0.8298,0.8079,0.7357
2026-08-06,-80.0,-74.12,0.8196,0.7825,0.821,0.8054,14.06,148.4,-27.8,0.2215,0.2248,-3.2,1.0,0.9953,0.8026,0.8381,0.8378
2026-08-06,-80.0,-52.94,0.9349,0.8818,0.8861,0.868,6.45,70.5,-23.2,0.3391,0.0941,-1.7,1.0,0.9953,0.8736,0.8591,0.9184
2026-08-06,-80.0,-31.76,0.8796,0.8333,0.8769,0.8856,11.98,225.4,-32.3,0.1589,0.0827,-1.4,1.0,0.9953,0.8523,0.8143,0.8392
2026-08-06,-80.0,-10.59,0.9096,1.0,1.0,0.855,8.53,105.3,-30.6,0.2771,0.0854,-1.2,1.0,0.9953,0.9923,0.9955,0.9192
2026-08-06,-80.0,10.59,0.9139,0.9429,1.0,0.8754,16.19,286.4,-25.2,0.394,-0.149,-2.1,1.0,0.9953,1.0,0.9341,0.9199
2026-08-06,-80.0,31.76,0.9749,1.0,0.9895,1.0,11.35,49.0,-25.3,0.0705,-0.1583,-2.1,1.0,0.9953,1.0,0.968,0.9361
2026-08-06,-80.0,52.94,0.9816,0.9669,0.9797,0.9677,7.74,302.0,-27.6,0.0967,-0.0703,-1.2,1.0,0.9953,0.9889,0.9525,1.0
2026-08-06,-80.0,74.12,0.9581,0.9688,0.9422,1.0,14.53,131.2,-23.6,0.4004,0.1777,0.0,1.0,0.9953,1.0,1.0,0.9784
2026-08-06,-80.0,95.29,0.9289,1.0,0.9843,1.0,12.25,71.9,-22.0,0.173,-0.1018,-2.4,1.0,0.9953,0.9339,1.0,0.9725
2026-08-06,-80.0,116.47,1.0,0.8783,0.9248,0.9485,14.07,245.8,-23.5,0.1261,0.0406,-1.7,1.0,0.9953,1.0,0.9597,1.0
2026-08-06,-80.0,137.65,0.9138,0.9674,0.9223,0.9294,17.74,191.9,-29.9,0.1783,-0.1375,-1.4,1.0,0.9953,0.9207,0.958,0.9126
2026-08-06,-80.0,158.82,0.8637,0.8955,0.8607,0.8867,7.87,15.9,-21.5,0.437,0.3516,-2.0,1.0,0.9953,0.885,0.8528,0.9111
2026-08-06,-80.0,180.0,0.8584,0.8335,0.8521,0.8484,8.64,319.7,-31.4,0.4108,0.0681,-2.7,1.0,0.9953,0.8147,0.8549,0.8767
2026-08-06,-78.57,-180.0,0.7116,0.7527,0.7277,0.8592,8.52,204.2,-26.7,0.3971,-0.0963,-1.4,0.9429,0.9953,0.7762,0.7996,0.7771
2026-08-06,-78.57,-158.82,0.7647,0.7755,0.7709,0.8573,5.78,329.4,-22.8,0.0541,0.0417,-2.0,0.9429,0.9953,0.762,0.7368,0.7901
2026-08-06,-78.57,-137.65,0.7575,0.7819,0.767,0.7473,9.71,198.3,-27.6,0.0743,0.0802,-2.7,0.9429,0.9953,0.89,0.7657,0.6921
2026-08-06,-78.57,-116.47,0.7199,0.8146,0.7577,0.7806,16.65,354.1,-21.5,0.2748,-0.0212,-0.9,0.9429,0.9953,0.6764,0.7264,0.7053
2026-08-06,-78.57,-95.29,0.7935,0.7506,0.8913,0.6988,14.74,275.2,-19.6,0.2962,0.3004,-1.7,0.9429,0.9953,0.7235,0.7897,0.745
2026-08-06,-78.57,-74.12,0.8009,0.7305,0.8111,0.7277,6.9,22.3,-19.3,0.2535,-0.0325,-4.2,0.9429,0.9953,0.7836,0.7213,0.7561
