date,lat,lon,wind_speed_ms,wind_dir_deg,temp_celsius,pressure_hpa,source
2026-09-05,-78.0,-180.0,8.9,262.3,-22.1,1008.5,demo_simulation
2026-09-05,-78.0,-147.27,14.4,227.9,-22.6,1000.6,demo_simulation
2026-09-05,-78.0,-114.55,17.44,253.7,-21.0,986.5,demo_simulation
2026-09-05,-78.0,-81.82,14.44,40.6,-25.1,976.1,demo_simulation
2026-09-05,-78.0,-49.09,17.95,200.2,-26.8,966.2,demo_simulation
2026-09-05,-78.0,-16.36,11.63,225.3,-24.1,984.3,demo_simulation
2026-09-05,-78.0,16.36,10.89,13.9,-23.3,985.6,demo_simulation
2026-09-05,-78.0,49.09,15.96,276.7,-27.5,980.9,demo_simulation
2026-09-05,-78.0,81.82,15.5,340.0,-24.0,989.8,demo_simulation
2026-09-05,-78.0,114.55,17.7,47.5,-24.1,998.6,demo_simulation
2026-09-05,-78.0,147.27,15.63,357.3,-21.2,962.5,demo_simulation
2026-09-05,-78.0,180.0,9.71,100.6,-22.4,975.8,demo_simulation
2026-09-05,-75.43,-180.0,6.85,243.1,-16.9,994.1,demo_simulation
2026-09-05,-75.43,-147.27,6.16,164.3,-24.7,1004.7,demo_simulation
2026-09-05,-75.43,-114.55,17.65,68.1,-20.3,960.4,demo_simulation
2026-09-05,-75.43,-81.82,9.93,79.9,-19.9,983.4,demo_simulation
2026-09-05,-75.43,-49.09,13.97,336.6,-22.1,1006.7,demo_simulation
2026-09-05,-75.43,-16.36,14.9,142.5,-19.8,984.1,demo_simulation
2026-09-05,-75.43,16.36,13.9,65.1,-21.3,980.2,demo_simulation
2026-09-05,-75.43,49.09,6.34,135.4,-22.6,984.2,demo_simulation
2026-09-05,-75.43,81.82,8.97,242.0,-23.2,988.1,demo_simulation
2026-09-05,-75.43,114.55,7.56,174.6,-28.0,995.9,demo_simulation
2026-09-05,-75.43,147.27,14.29,323.3,-26.3,987.2,demo_simulation
2026-09-05,-75.43,180.0,12.27,219.1,-21.7,978.2,demo_simulation
2026-09-05,-72.86,-180.0,15.76,192.2,-19.1,962.0,demo_simulation
2026-09-05,-72.86,-147.27,12.84,30.7,-13.3,992.9,demo_simulation
2026-09-05,-72.86,-114.55,8.25,323.9,-19.9,981.9,demo_simulation
2026-09-05,-72.86,-81.82,15.62,93.1,-20.8,965.6,demo_simulation
2026-09-05,-72.86,-49.09,10.62,337.4,-21.4,993.7,demo_simulation
2026-09-05,-72.86,-16.36,14.4,178.6,-20.4,1003.8,demo_simulation
2026-09-05,-72.86,16.36,9.96,348.2,-15.1,976.1,demo_simulation
2026-09-05,-72.86,49.09,15.14,258.2,-16.2,995.2,demo_simulation
2026-09-05,-72.86,81.82,16.4,119.0,-20.7,994.5,demo_simulation
2026-09-05,-72.86,114.55,13.95,71.2,-14.8,966.9,demo_simulation
2026-09-05,-72.86,147.27,9.44,288.4,-18.8,967.8,demo_simulation
2026-09-05,-72.86,180.0,15.65,115.7,-16.6,985.5,demo_simulation
2026-09-05,-70.29,-180.0,16.85,38.7,-13.9,978.2,demo_simulation
2026-09-05,-70.29,-147.27,10.52,289.5,-17.0,1002.0,demo_simulation
2026-09-05,-70.29,-114.55,13.04,44.5,-13.0,998.6,demo_simulation
2026-09-05,-70.29,-81.82,17.65,119.9,-17.6,975.4,demo_simulation
2026-09-05,-70.29,-49.09,6.08,86.4,-14.6,968.3,demo_simulation
2026-09-05,-70.29,-16.36,14.64,133.9,-16.1,999.5,demo_simulation
2026-09-05,-70.29,16.36,15.18,313.3,-20.9,1005.3,demo_simulation
2026-09-05,-70.29,49.09,6.48,119.3,-14.9,964.7,demo_simulation
2026-09-05,-70.29,81.82,7.33,275.5,-20.8,986.9,demo_simulation
2026-09-05,-70.29,114.55,12.86,175.5,-21.3,976.2,demo_simulation
2026-09-05,-70.29,147.27,8.72,130.1,-20.0,999.9,demo_simulation
2026-09-05,-70.29,180.0,10.67,60.4,-19.1,1001.8,demo_simulation
2026-09-05,-67.71,-180.0,12.14,169.5,-14.3,1006.6,demo_simulation
2026-09-05,-67.71,-147.27,17.77,321.8,-10.8,980.3,demo_simulation
2026-09-05,-67.71,-114.55,9.32,66.7,-14.4,995.4,demo_simulation
2026-09-05,-67.71,-81.82,15.51,258.9,-17.0,972.8,demo_simulation
2026-09-05,-67.71,-49.09,8.97,331.3,-17.3,989.6,demo_simulation
2026-09-05,-67.71,-16.36,15.54,29.2,-12.5,996.9,demo_simulation
2026-09-05,-67.71,16.36,10.2,129.9,-16.0,982.3,demo_simulation
2026-09-05,-67.71,49.09,7.66,101.2,-15.9,967.5,demo_simulation
2026-09-05,-67.71,81.82,7.08,310.7,-16.2,983.5,demo_simulation
2026-09-05,-67.71,114.55,7.03,39.3,-15.0,1006.3,demo_simulation
